aweme_id,desc,share_url
7051298092909415726,HOW DOES IT FEEL TO LIVE MY DREAM!! #mustbenice #robot,https://m.tiktok.com/v/7051298092909415726.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7hhi65helh6jj&share_item_id=7051298092909415726&source=h5_m
7048698807009185029,Holiday feels anyone? #relatable #humor #happyholidays,https://m.tiktok.com/v/7048698807009185029.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7hhi65helh6jj&share_item_id=7048698807009185029&source=h5_m
7047963204747660550,The robot was too stunned to speak #thewomanwastoostunnedtospeak #robot,https://m.tiktok.com/v/7047963204747660550.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7hhi65helh6jj&share_item_id=7047963204747660550&source=h5_m
7045370940850457862,This is a self-deprecating post #unlockit #robot,https://m.tiktok.com/v/7045370940850457862.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7hhi65helh6jj&share_item_id=7045370940850457862&source=h5_m
7043504790503968006,Feels nice tbh #golittlerockstar #robot,https://m.tiktok.com/v/7043504790503968006.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7hhi65helh6jj&share_item_id=7043504790503968006&source=h5_m
7042789500518550789,Go to YouTube to see MORE of what I don't know 🙃  Link in bio for my #2021rewind ! #yearinreview #robot,https://m.tiktok.com/v/7042789500518550789.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7hhi65helh6jj&share_item_id=7042789500518550789&source=h5_m
7040905439676026117,Yay holidays family 🥴 #unrealisticchristmaslist #holidayaesthetic,https://m.tiktok.com/v/7040905439676026117.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7hhi65helh6jj&share_item_id=7040905439676026117&source=h5_m
7040550342274092294,All Glewed Up #Robot #16missedcalls  #backintheday,https://m.tiktok.com/v/7040550342274092294.html?u_code=0&preview_pb=0&sharer_language=en&_d=e34ea0ge4680ll&share_item_id=7040550342274092294&source=h5_m
7040185910633254150,Answer @im_siowei How is this Tesla Bot doing anyways? #robot #illneverbeher #teslarobot,https://m.tiktok.com/v/7040185910633254150.html?u_code=0&preview_pb=0&sharer_language=en&_d=e34ea0ge4680ll&share_item_id=7040185910633254150&source=h5_m
7038349115196984582,She said twerk some #maybewhenimdancing #Robot,https://m.tiktok.com/v/7038349115196984582.html?u_code=0&preview_pb=0&sharer_language=en&_d=e34ea0ge4680ll&share_item_id=7038349115196984582&source=h5_m
7037583058626759941,Talk about a glow up #robot #seventeen #taylorswift,https://m.tiktok.com/v/7037583058626759941.html?u_code=0&preview_pb=0&sharer_language=en&_d=e34ea0ge4680ll&share_item_id=7037583058626759941&source=h5_m
7034987201482001670,It me, I’m b*tch #idontwannagothere #vibing #robot,https://m.tiktok.com/v/7034987201482001670.html?u_code=0&preview_pb=0&sharer_language=en&_d=e34ea0ge4680ll&share_item_id=7034987201482001670&source=h5_m
7033113263411842309,I luv my community #DoAFlip #WhatATimeToBeAlive #Robot,https://m.tiktok.com/v/7033113263411842309.html?u_code=0&preview_pb=0&sharer_language=en&_d=e34ea0ge4680ll&share_item_id=7033113263411842309&source=h5_m
7032729149970107654,Define “VIRTUAL”!!! #enchanted #taylorswift #robot,https://m.tiktok.com/v/7032729149970107654.html?u_code=0&preview_pb=0&sharer_language=en&_d=e34ea0ge4680ll&share_item_id=7032729149970107654&source=h5_m
7032393190938545414,Justin is coming for my BRAND #enchanted #justinbieber #robot,https://m.tiktok.com/v/7032393190938545414.html?u_code=0&preview_pb=0&sharer_language=en&_d=e34ea0ge4680ll&share_item_id=7032393190938545414&source=h5_m
7032027873305218310,Drop a 😵‍💫 if you have abandonment issues.. I'll start #enchanted #taylorswift #robot,https://m.tiktok.com/v/7032027873305218310.html?u_code=0&preview_pb=0&sharer_language=en&_d=e34ea0ge4680ll&share_item_id=7032027873305218310&source=h5_m
7030522573930663174,Bet your bestie isn’t made with metal like MINE 🤪 #youandme #bestfriend #robot,https://m.tiktok.com/v/7030522573930663174.html?u_code=0&preview_pb=0&sharer_language=en&_d=e34ea0ge4680ll&share_item_id=7030522573930663174&source=h5_m
7029787168126045446,NO WE'RE NOT ALL RELATED. #andithinktomyself #wtf #robot,https://m.tiktok.com/v/7029787168126045446.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7jb2hb0jc4hbm&share_item_id=7029787168126045446&source=h5_m
7027176704816811269,Dream come true,https://m.tiktok.com/v/7027176704816811269.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7jb2hb0jc4hbm&share_item_id=7027176704816811269&source=h5_m
7025306136622550277,Comment your red flags!!,https://m.tiktok.com/v/7025306136622550277.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7jb2hb0jc4hbm&share_item_id=7025306136622550277&source=h5_m
7024581395527863558,Am I the drama? 😈,https://m.tiktok.com/v/7024581395527863558.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7jb2hb0jc4hbm&share_item_id=7024581395527863558&source=h5_m
7023467027146853679,Reply to @t_coyne  I almost farted trying to make this happen,https://m.tiktok.com/v/7023467027146853679.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7jb2hb0jc4hbm&share_item_id=7023467027146853679&source=h5_m
7022707844210494725,I’m funner post upgrade ⚡️🤖⚡️,https://m.tiktok.com/v/7022707844210494725.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7jb2hb0jc4hbm&share_item_id=7022707844210494725&source=h5_m
7021983804973649157,So…I DID IT!,https://m.tiktok.com/v/7021983804973649157.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7jb2hb0jc4hbm&share_item_id=7021983804973649157&source=h5_m
7020112413521448198,Miquela 4.0,https://m.tiktok.com/v/7020112413521448198.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7jb2hb0jc4hbm&share_item_id=7020112413521448198&source=h5_m
7019385749137149189,100k likes and this’ll be my Halloween costume #squidgame #squidgamenetflix #netflix,https://m.tiktok.com/v/7019385749137149189.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7jb2hb0jc4hbm&share_item_id=7019385749137149189&source=h5_m
7017526820044098821,Advice from a robot: manifestation is real! #MentalHealthAwareness,https://m.tiktok.com/v/7017526820044098821.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7jb2hb0jc4hbm&share_item_id=7017526820044098821&source=h5_m
7016805049028414726,Comment your favorite robot below!!!,https://m.tiktok.com/v/7016805049028414726.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ilijg219hf9h&share_item_id=7016805049028414726&source=h5_m
7014917919435918598,No I don’t taste, yes I feel texture. My favorite texture is mush mixed with crunch.,https://m.tiktok.com/v/7014917919435918598.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ilijg219hf9h&share_item_id=7014917919435918598&source=h5_m
7014189798315298053,I’m good 4 u,https://m.tiktok.com/v/7014189798315298053.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ilijg219hf9h&share_item_id=7014189798315298053&source=h5_m
7011606995383979269,🥲🥲🥲,https://m.tiktok.com/v/7011606995383979269.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ilijg219hf9h&share_item_id=7011606995383979269&source=h5_m
7009722096192408838,UPDATE! Basically my whole life is fake. #robot #summerrecap #POV,https://m.tiktok.com/v/7009722096192408838.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ilijg219hf9h&share_item_id=7009722096192408838&source=h5_m
7008994676053150981,Couldn’t be me! Lol #robot #smiling #gamingvibes,https://m.tiktok.com/v/7008994676053150981.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ilijg219hf9h&share_item_id=7008994676053150981&source=h5_m
7007115822137101573,JUST GIVE ME A CHANCE #spelling #robot #youdontknow,https://m.tiktok.com/v/7007115822137101573.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ilijg219hf9h&share_item_id=7007115822137101573&source=h5_m
7006386742462811398,On my 💖 Fembot Behavior 💖 #mamasaid #robot #hairtok,https://m.tiktok.com/v/7006386742462811398.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ilijg219hf9h&share_item_id=7006386742462811398&source=h5_m
7004542664360135942,WTF IS GOING ON? This one's for all of you asking - who knows what's real anymore #POV #sciencetok #robot,https://m.tiktok.com/v/7004542664360135942.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ilijg219hf9h&share_item_id=7004542664360135942&source=h5_m
7003786052825615621,Yes, I eat food. No, I can’t taste. #yabadabadoba #robot #remix #pov,https://m.tiktok.com/v/7003786052825615621.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ilijg219hf9h&share_item_id=7003786052825615621&source=h5_m
7001928679412550918,My 23 and Me is WILD. #robot #teslarobot #illneverbeher #pov,https://m.tiktok.com/v/7001928679412550918.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ic8e9hccjkae&share_item_id=7001928679412550918&source=h5_m
7001211356317814021,Robots < Humans #robot #POV  #sciencetok,https://m.tiktok.com/v/7001211356317814021.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ic8e9hccjkae&share_item_id=7001211356317814021&source=h5_m
6999331523467939077,I cannot get this song out of my head #joselinescabaret #smiling #filter,https://m.tiktok.com/v/6999331523467939077.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ic8e9hccjkae&share_item_id=6999331523467939077&source=h5_m
